X,Y,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,Wilaya,moughataa,commune,icon_url
-15.1780712138861,20.3473602980375,Mejhar Ivoulan,Longitude: -15.17807119<br>Latitude: 20.3473603,,,,,-1,0,-1,,,Inchiri,Bennechab,Bennechab,./0.png
-15.2534416224808,20.2162043005228,Mejhar leghlal,Longitude: -15.25344162<br>Latitude: 20.21620427,,,,,-1,0,-1,,,Inchiri,Bennechab,Bennechab,./0.png
-15.2377153281122,20.2740500774234,Mejhar Lekhcheiwa,Longitude: -15.23771529<br>Latitude: 20.27405004,,,,,-1,0,-1,,,Inchiri,Bennechab,Bennechab,./0.png
-15.1657232455909,20.3581075742841,Mejhar Lemra,Longitude: -15.16572328<br>Latitude: 20.35810758,,,,,-1,0,-1,,,inchiri,Bennechab,Bennechab,./0.png
-15.1500689517707,20.3502059541643,Mejhar N’Diaghmadique,Longitude: -15.15006893<br>Latitude: 20.35020593,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-15.2506574895233,20.2231753617525,Mejhar Tedhhebon,Longitude: -15.25065752<br>Latitude: 20.22317532,,,,,-1,0,-1,,,Inchiri,Bennechab,Bennechab,./0.png
-15.1658702641726,20.4953224305063,Mejhar Tejekanet(ichekran),Longitude: -15.16587029<br>Latitude: 20.49532245,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-15.1213346142322,20.4229070618749,Mejhar Tweir Jenna,Longitude: -15.1213346<br>Latitude: 20.42290702,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-9.25395746715367,25.040566502139,Mjehidatte,,,,,,-1,0,-1,,,Tiris Zemour,Birmoughrien,Birmoughrien,./0.png
-9.44400907494128,25.0443946849555,امجيحيدات,,,,,,-1,0,-1,,,Tiris Zemour,Birmoughrien,NULLBirmoughrien,./0.png
-15.5840648710728,20.7236192375421,Ntalva,Longitude: -15.58406486<br>Latitude: 20.72361923,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Boulenouar,./0.png
-7.26409994065762,25.1528898719698,Oumekrayaa 45,Longitude: -7.264099958<br>Latitude: 25.15288988,,,,,-1,0,-1,,,Tiris Zemour,Birmoughrien,Birmoughrien,./0.png
-12.9223177582025,17.4297135137022,Point 15,description: <br>Longitude: <br>Latitude:,,,,,-1,0,-1,,,Brakna,M'bagne,Sangrave,./0.png
-15.1797868218273,20.3396234661341,Point Chaud,Longitude: -15.17978681<br>Latitude: 20.33962347,,,,,-1,0,-1,,,Inchiri,Bennechab,Bennechab,./0.png
-15.1806583721191,20.3394327778369,Point chaud13,description: <br>Longitude: <br>Latitude:,,,,,-1,0,-1,,,Inchiri,Bennechab,Bennechab,./0.png
-13.4196325019002,19.0193481557071,SEBKHA21,,,,,,-1,0,-1,,,Adrar,Aoujeft,Medah,./0.png
-13.4190484508872,19.0248546469957,Sebkhat El Moukhanza 1,Longitude: -13.41904845<br>Latitude: 19.02485466,,,,,-1,0,-1,,,Adrar,Aoujeft,Medah,./0.png
-6.67020899243653,24.7518383525312,site,,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-12.9223177582025,17.4297135137022,Tadreissa,Longitude: -12.92231776<br>Latitude: 17.42971351,,,,,-1,0,-1,,,Brakna,M'bagne,Sangrave,./0.png
-15.0889609381556,20.4175500199199,Tenghermeche,Longitude: -15.08896095<br>Latitude: 20.41754999,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-10.2994120493531,22.8719920478761,Tenoumr,Longitude: -10.29941206<br>Latitude: 22.87199204,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-10.3445560578257,22.9408455267549,تنومر,Longitude: -10.29941206<br>Latitude: 22.87199204,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-15.4784905258566,20.4322678036988,TevragZeina,Longitude: -15.47849049<br>Latitude: 20.4322678,,,,,-1,0,-1,,,Inchiri,Bennechab,Bennechab,./0.png
-15.4707921668887,20.4067890811712,TevragZeina1,Longitude: -15.47079218<br>Latitude: 20.40678912,,,,,-1,0,-1,,,Inchiri,Bennechab,Bennechab,./0.png
-15.4597206786275,20.5382741522044,TevragZeina2,Longitude: -15.45972066<br>Latitude: 20.53827413,,,,,-1,0,-1,,,Inchiri,Bennechab,Bennechab,./0.png
-12.952629821375,17.2475672978908,Toueidimat,Longitude: -12.95262982<br>Latitude: 17.24756728,,,,,-1,0,-1,,,Brakna,M'bagne,ouad amour,./0.png
-12.9191398434341,17.3504046164453,Wad Ezmet,Longitude: -12.91913986<br>Latitude: 17.35040461,,,,,-1,0,-1,,,Brakna,M'bagne,ouad amour,./0.png
-6.75636523403227,24.9508849997073,أصفيه,,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-6.7333310097456,24.8357444722205,أكريبت البطارين,,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-6.71011095866561,24.8237582668662,أكريبت خالد‎1,description: 1 حادث<br>3 قتلى <br><br>Longitude: <br>Latitude:,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-6.73474512062967,24.8526007309556,أكليب أندور‎,description: 2 حادث<br>4 قتلى <br><br>Longitude: <br>Latitude:,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-8.26041452586651,23.3966986835003,اثعليلبيات,,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-12.2330578509718,15.6835856381804,احسي لعطشSelibabi,,,,,,-1,0,-1,,,Guidimagha,Sélibaby,Ould M'bouny,./0.png
-14.4030749984086,20.8189990092069,احميم - عدد الوفيات 2 - عدد الحوادث 2,description: Longitude: -14.4030753<br>Latitude: 20.8189992<br>Longitude: -14.4030753<br>Latitude: 20.8189992,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-14.352500019595,21.1458333022893,احميم التجراج,Longitude: -14.352500000000001<br>Latitude: 21.1458333,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-14.6399999689311,20.9544443618506,احميم المجهر القديم‎,Longitude: -14.64<br>Latitude: 20.9544444,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-14.3560483306646,20.9724999871105,احميم حاسي مجهر1,Longitude: -14.356048333333334<br>Latitude: 20.9725,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-14.5650000404567,21.1547222267836,احميم حاسي مجهر2,Longitude: -14.565<br>Latitude: 21.1547222,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-14.5066666882485,20.9230555593967,احميم لبراك,Longitude: -14.506666666666668<br>Latitude: 20.9230556,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-14.4827777612954,21.0122221615166,احميم مجهر‎,Longitude: -14.4827778<br>Latitude: 21.0122222,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-15.5673399567604,20.8356435410678,اخنيفسات الاد الناصر,,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Boulenouar,./0.png
-15.5754797067493,20.5938055180013,ادشلي,,,,,,-1,0,-1,,,Nauodhibou,chami,chami,./0.png
-8.640769533813,26.1869472451508,ازكوله,,,,,,-1,0,-1,,,Tiris Zemour,Birmoughrien,Birmoughrien,./0.png
-15.1387419831008,20.4228939861059,اعميتني تيجريت - عدد الوفيات 1  - عدد الحوادث 1,description: Longitude: -15.13874202<br>Latitude: 20.42289402<br>Longitude: -15.13874202<br>Latitude: 20.42289402,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-14.4069804623723,20.8033812604845,افرنان,description: <br>Longitude: <br>Latitude:,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-15.5825861357152,21.2447540927678,اكرارت اسنين,description: <br>Longitude: <br>Latitude:,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Boulenouar,./0.png
-15.5828323960304,21.2461083568633,اكرارت السنين,,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Boulenouar,./0.png
-15.1680286880583,20.35460812971,اكيطون,,,,,,-1,0,-1,,,Inchiri,Bennechab,Bennechab,./0.png
-6.6864915098995,24.806383503601,التضامن/اديبوسات‎1,description: 1 حادث<br>4 قتلى<br><br>Longitude: <br>Latitude:,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-6.6494760196656,24.7147767618298,الحدود 1,,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-6.66688062250614,24.7411081753671,الخير,,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-15.1716236863285,20.3477462846786,الدعاة,description: <br>Longitude: <br>Latitude:,,,,,-1,0,-1,,,Inchiri,Bennechab,Bennechab,./0.png
-6.68145700357854,24.7710498422384,الدعاة + كوص,,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-6.68528988026083,24.7989109531045,السلام 1,,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-6.6851841006428,24.8008770961314,السلام 2,,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-6.66702009737492,24.6954812016338,الشجاعية/الحدود2,,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-14.4425000343472,21.0708332899958,الشريكة آحميم‎,Longitude: -14.4425<br>Latitude: 21.0708333,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-5.76979695819318,25.3467124979943,الشكات,,,,,,-1,0,-1,,,Tiris Zemour,Birmoughrien,Birmoughrien,./0.png
-15.5525936745107,20.737195070833,الشمس,,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Boulenouar,./0.png
-6.70615704730153,24.7821269463748,الصابرين/اسيدهم/الطبيب,,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-15.1514209527522,20.2922455128282,الصفية,,,,,,-1,0,-1,,,Inchiri,Bennechab,Bennechab,./0.png
-15.1333523355424,20.3864638879895,الطلحاية,,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-6.65459350682795,24.7064081020653,العافيه/لمره,,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-15.5256259907037,20.6348510272801,المجهر 1 تازيازت - عدد الوفيات 6  - عدد الحوادث 3,description: Longitude: -15.5256258<br>Latitude: 20.63485118<br>Longitude: -15.5256258<br>Latitude: 20.63485118,,,,,-1,0,-1,,,Nauodhibou,chami,chami,./0.png
-15.5270889680833,20.6417049933225,المجهر 2 تازيازت - عدد الوفيات 2  - عدد الحوادث 2,description: Longitude: -15.52708918<br>Latitude: 20.64170484<br>Longitude: -15.52708918<br>Latitude: 20.64170484,,,,,-1,0,-1,,,Nauodhibou,chami,chami,./0.png
-15.5786350741982,20.68220006302,النعجة 1,,,,,,-1,0,-1,,,Nauodhibou,chami,chami,./0.png
-15.573726547882,20.69694458507,النعجة 2,,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Boulenouar,./0.png
-14.3788471072912,20.8731887675822,امبار تيشط,,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-7.37286485731602,25.2314001414925,اميرق عيه,,,,,,-1,0,-1,,,Tiris Zemour,Birmoughrien,Birmoughrien,./0.png
-15.5834219790995,20.7213810179383,انتالفة  تازيازت - عدد الوفيات 2  - عدد الحوادث 2,description: Longitude: -15.5834224<br>Latitude: 20.7213806<br>Longitude: -15.5834224<br>Latitude: 20.7213806,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Boulenouar,./0.png
-15.5840067844838,20.7209899183363,انتالفة الكبيرة,,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Boulenouar,./0.png
-15.1823790930212,20.3035295661539,اهل باركل,,,,,,-1,0,-1,,,Inchiri,Bennechab,Bennechab,./0.png
-6.68702560476959,24.7863727994263,ببال,,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-12.5341269280761,15.7169000990689,بتك أهل يمان,,,,,,-1,0,-1,,,Gorgole,M'Bout,djbenni Gandega,./0.png
-8.28826960176229,25.7191270776093,بوعميمه,,,,,,-1,0,-1,,,Tiris Zemour,Birmoughrien,Birmoughrien,./0.png
-12.7080246806145,15.7540390547365,بيليكت أهل سالم,,,,,,-1,0,-1,,,Gorgole,M'Bout,debaye Ehel guelaye,./0.png
-15.4784900229424,20.4322679713368,تفرغ زينة تازيازت - عدد الوفيات 8  - عدد الحوادث 3,description: Longitude: -15.47849049<br>Latitude: 20.4322678<br>Longitude: -15.47849049<br>Latitude: 20.4322678,,,,,-1,0,-1,,,Inchiri,Bennechab,Bennechab,./0.png
-15.1606863923371,20.2682366408408,تنضلين1,,,,,,-1,0,-1,,,Inchiri,Bennechab,Bennechab,./0.png
-15.1628461573273,20.2639966551214,تنضلين2,,,,,,-1,0,-1,,,Inchiri,Bennechab,Bennechab,./0.png
-15.1587479934096,20.2642714977264,تنضلين3,,,,,,-1,0,-1,,,Inchiri,Bennechab,Bennechab,./0.png
-15.5145342182368,20.650398787111,تيرنه,,,,,,-1,0,-1,,,Nauodhibou,chami,chami,./0.png
-14.4010063447058,20.8026918489486,جعرور,,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-14.4107322022319,20.7973403390497,حتوتو,,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-15.5107388924807,20.6349679548293,حفرة بلال,,,,,,-1,0,-1,,,Nauodhibou,chami,chami,./0.png
-15.5671751685441,20.8352646790445,خنيفسات‎‎,description: <br>Longitude: <br>Latitude:,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Boulenouar,./0.png
-12.2907732054591,15.2158838231116,ديالا Selibabi,,,,,,-1,0,-1,,,Guidimagha,Wompou,Fdedierk,./0.png
